Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alley-cats-hand-pipe,Alley Cats Hand Pipe,"<p>A cat-shaped borosilicate hand pipe, around 5.5 inches. Fits the hand, holds up to daily use, and stays self-contained — no separate bowl or downstem to keep track of. The easiest way into the Alley Cats line.</p>",Hemper,"Food, Beverages & Tobacco > Tobacco Products > Smoking Pipes",Hand Pipe,"cat-collection, hemper",true,Title,Default Title,,,,,,,,HMP-HP-1125,141.747615625,shopify,100,continue,manual,29.99,,true,true,,,,,810190991466,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_005_ONWHITE_5000x5000_d2c7f656-0264-465b-81d9-e981d2b4905c.jpg?v=1779448108,1,"",false,Alley Cats Hand Pipe — Cat-Shaped Glass Pipe | FLOW3R,"A 5.5-inch cat-shaped borosilicate hand pipe — self-contained, durable, easy to carry. The entry point to the Alley Cats collection. Ships discreet from California.",,clear; gray,,,,oz,,15.00,active
alley-cats-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_003_ONWHITE_5000x5000_9a406fb9-73db-4d4e-9c0b-2de34481c475.jpg?v=1779448107,2,"",,,,,,,,,,,,
alley-cats-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_001_ONWHITE_5000x5000_f32db7d7-5821-4c85-90f2-cc950a75b2ea.jpg?v=1779448106,3,"",,,,,,,,,,,,
alley-cats-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_002_ONWHITE_5000x5000_6ac2a421-f570-44d4-9816-b64a950961e0.jpg?v=1779448106,4,"",,,,,,,,,,,,
alley-cats-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_004_ONWHITE_5000x5000_67351e18-2c9e-4f54-b5c7-08863b36080d.jpg?v=1779448106,5,"",,,,,,,,,,,,
alley-cats-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_HAND_PIPE_WITHBOX_001_ONWHITE_5000x5000_ae5a9655-ba21-4451-b540-af9371785c8c.jpg?v=1779448085,6,"",,,,,,,,,,,,
alley-cats-xl-bong,Alley Cats XL Bong,"<p>The statement piece of the Alley Cats line. The same cat-inspired borosilicate build as the standard bong, scaled up — more water volume, bigger draws, real presence on a shelf. 14mm female joint with an engineered percolation system. The piece that anchors a setup.</p>",Hemper,"Food, Beverages & Tobacco > Cannabis Products > Pipes & Bongs",Water Pipe,"cat-collection, hemper",true,Title,Default Title,,,,,,,,JWP1125,600.0,shopify,10,continue,manual,149.99,,true,true,,,,,810190991459,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_001_ONWHITE_5000x5000_40f329ed-24fc-4f1a-ae04-03fc8375a480.jpg?v=1779447955,1,"",false,Alley Cats XL Bong — Large Cat Glass Bong | FLOW3R,The XL of the Alley Cats line — a tall cat-shaped borosilicate bong with engineered percolation and more water volume. Ships discreet from California.,,gray; clear,glass,free-form,,g,,60.00,active
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_006_ONWHITE_5000x5000_7332e72b-1432-4e5a-971d-bf8b28e533a7.jpg?v=1779447955,2,"",,,,,,,,,,,,
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_005_ONWHITE_5000x5000_569a956a-7fe5-47f1-95e2-131590b38541.jpg?v=1779447956,3,"",,,,,,,,,,,,
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_004_ONWHITE_5000x5000_99153742-ef3d-4e71-aa8a-925a5a4c5c90.jpg?v=1779447955,4,"",,,,,,,,,,,,
